ISO	Gold/medals	Silver/medals	Bronze/medals	total/medals	total weight/points	GDP.2011	pop.2010	GDP/per
ABW	0	0	0	0	0	2,456,000,000.00	108,000	22740.74074
AFG	0	0	1	1	1	20,343,461,030.00	34,385,000	591.6376626
AGO	0	0	0	0	0	100,990,000,000.00	19,082,000	5292.422178
ALB	0	0	0	0	0	12,959,563,902.00	3,205,000	4043.545679
AND	0	0	0	0	0	3,491,000,000.00	84,864	41136.40649
ARE	0	0	0	0	0	360,245,000,000.00	7,512,000	47955.93717
ARG	1	1	2	4	7	445,989,000,000.00	40,412,000	11036.05365
ARM	0	1	2	3	4	10,247,788,877.00	3,092,000	3314.291357
ASM	0	0	0	0	0	537,000,000.00	68,420	7848.582286
ATG	0	0	0	0	0	1,128,708,617.00	88,000	12826.23428
AUS	7	16	12	35	65	1,371,760,000,000.00	22,299,000	61516.65994
AUT	0	0	0	0	0	418,484,000,000.00	8,390,000	49878.90346
AZE	2	2	6	10	16	63,403,650,746.00	9,054,000	7002.833084
BDI	0	0	0	0	0	2,325,972,144.00	8,382,000	277.4960802
BEL	0	1	2	3	4	511,533,000,000.00	10,896,000	46946.86123
BEN	0	0	0	0	0	7,294,865,847.00	8,850,000	824.2786268
BFA	0	0	0	0	0	10,187,211,704.00	16,468,000	618.6064916
BGD	0	0	0	0	0	110,612,000,000.00	148,692,000	743.9001426
BGR	0	1	1	2	3	53,514,098,360.00	7,534,000	7103.01279
BHR	0	0	1	1	1	22,945,000,000.00	1,262,000	18181.458
BHS	1	0	0	1	3	7,787,514,000.00	343,000	22704.12245
BIH	0	0	0	0	0	18,088,238,053.00	3,760,000	4810.70161
BLR	2	5	5	12	21	55,136,144,037.00	9,490,000	5809.920341
BLZ	0	0	0	0	0	1,474,000,000.00	345,000	4272.463768
BMU	0	0	0	0	0	6,015,000,000.00	64,600	93111.45511
BOL	0	0	0	0	0	24,426,829,466.00	9,929,000	2460.150012
BRA	3	5	9	17	28	2,476,650,000,000.00	194,946,000	12704.28734
BRB	0	0	0	0	0	3,685,000,000.00	274,000	13448.90511
BRN	0	0	0	0	0	13,024,000,000.00	399,000	32641.60401
BTN	0	0	0	0	0	1,688,939,892.00	726,000	2326.363488
BWA	0	1	0	1	2	17,627,441,191.00	2,007,000	8782.980165
CAF	0	0	0	0	0	2,165,868,600.00	4,401,000	492.1310157
CAN	1	5	12	18	25	1,736,050,000,000.00	34,126,000	50871.76933
CHE	2	2	0	4	10	635,650,000,000.00	7,826,000	81222.84692
CHL	0	0	0	0	0	248,585,000,000.00	17,113,688	14525.5073
CHN	38	27	23	88	191	7,298,100,000,000.00	1,338,300,000	5453.261601
CIV	0	0	0	0	0	24,074,625,536.00	19,738,000	1219.709471
CMR	0	0	0	0	0	25,464,850,391.00	19,599,000	1299.293351
COD	0	0	0	0	0	15,642,236,881.00	65,965,000	237.1293395
COG	0	0	0	0	0	14,748,024,198.00	4,043,000	3647.792282
COK	0	0	0	0	0	248,000,000.00	20,000	12400
COL	1	3	4	8	13	331,655,000,000.00	46,295,000	7163.948591
COM	0	0	0	0	0	610,114,091.70	735,000	830.0871996
CPV	0	0	0	0	0	1,901,136,230.00	496,000	3832.935948
CRI	0	0	0	0	0	41,006,959,585.00	4,659,000	8801.665504
CUB	5	3	6	14	27	64,100,000,000.00	11,258,000	5693.728904
CYM	0	0	0	0	0	3,208,000,000.00	56,230	57051.39605
CYP	0	1	0	1	2	24,689,602,446.00	659,350	37445.36657
CZE	4	3	3	10	21	215,215,000,000.00	10,520,000	20457.69962
DEU	11	19	14	44	85	3,570,560,000,000.00	81,777,000	43662.1544
DJI	0	0	0	0	0	1,140,000,000.00	889,000	1282.339708
DMA	0	0	0	0	0	482,277,143.10	68,000	7092.310928
DNK	2	4	3	9	17	332,677,000,000.00	5,547,000	59974.2203
DOM	1	1	0	2	5	55,611,245,616.00	9,927,000	5602.019303
DZA	1	0	0	1	3	188,681,000,000.00	35,468,000	5319.753017
ECU	0	0	0	0	0	67,002,768,302.00	14,465,000	4632.06141
EGY	0	2	0	2	4	229,531,000,000.00	81,121,000	2829.489281
ERI	0	0	0	0	0	2,608,715,447.00	5,254,000	496.5198795
ESP	3	10	4	17	33	1,490,810,000,000.00	46,071,000	32358.96768
EST	0	1	1	2	3	22,184,722,472.00	1,340,000	16555.76304
ETH	3	1	3	7	14	31,708,848,033.00	82,950,000	382.2645935
FIN	0	1	2	3	4	266,071,000,000.00	5,364,000	49603.09471
FJI	0	0	0	0	0	3,812,749,216.00	860,000	4433.429321
FRA	11	11	12	34	67	2,773,030,000,000.00	64,895,000	42731.02704
FSM	0	0	0	0	0	318,100,000.00	111,000	2865.765766
GAB	0	1	0	1	2	17,051,616,749.00	1,505,000	11329.97791
